Started training at (GMT) :  2023-01-23 12:20:03
============================================================================================
Episode: 9100 		 Average Reward: 3.4100 		 Average Success: 0.0000
Episode: 9200 		 Average Reward: 3.8400 		 Average Success: 0.0000
Episode: 9300 		 Average Reward: 3.8300 		 Average Success: 0.0000
Episode: 9400 		 Average Reward: -1.8100 		 Average Success: 0.0000
Episode: 9500 		 Average Reward: 1.7300 		 Average Success: 0.0000
Episode: 9600 		 Average Reward: 3.3700 		 Average Success: 0.0000
Episode: 9700 		 Average Reward: 2.5800 		 Average Success: 0.0000
Episode: 9800 		 Average Reward: 3.7900 		 Average Success: 0.0000
Episode: 9900 		 Average Reward: 1.3600 		 Average Success: 0.0000
Episode: 10000 		 Average Reward: 3.0100 		 Average Success: 0.0000
Episode: 10100 		 Average Reward: 2.6100 		 Average Success: 0.0000
Episode: 10200 		 Average Reward: 3.9700 		 Average Success: 0.0000
Episode: 10300 		 Average Reward: 1.2500 		 Average Success: 0.0000
Episode: 10400 		 Average Reward: 2.7900 		 Average Success: 0.0000
Episode: 10500 		 Average Reward: 1.9700 		 Average Success: 0.0000
Episode: 10600 		 Average Reward: 2.3900 		 Average Success: 0.0000
Episode: 10700 		 Average Reward: 3.5200 		 Average Success: 0.0000
Episode: 10800 		 Average Reward: 2.4300 		 Average Success: 0.0000
Episode: 10900 		 Average Reward: 2.9900 		 Average Success: 0.0000
Traceback (most recent call last):
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/train.py", line 342, in <module>
    train(args)
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/train.py", line 125, in train
    total_loss, action_loss, value_loss, entropy = agent.update(buffer)
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/ppo.py", line 212, in update
    advantages = self.estimate_gae(
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/ppo.py", line 153, in estimate_gae
    advantages[t] = delta + (
KeyboardInterrupt
