Started training at (GMT) :  2023-01-23 12:28:58
============================================================================================
Episode: 9100 		 Average Reward: -45.4000 		 Average Success: 0.0000
Episode: 9200 		 Average Reward: -48.5000 		 Average Success: 0.0000
Episode: 9300 		 Average Reward: -48.0500 		 Average Success: 0.0000
Episode: 9400 		 Average Reward: -43.7700 		 Average Success: 0.0000
Episode: 9500 		 Average Reward: -42.8700 		 Average Success: 0.0000
Episode: 9600 		 Average Reward: -46.4600 		 Average Success: 0.0000
Episode: 9700 		 Average Reward: -48.5600 		 Average Success: 0.0000
Episode: 9800 		 Average Reward: -46.7600 		 Average Success: 0.0000
Episode: 9900 		 Average Reward: -44.8000 		 Average Success: 0.0000
Episode: 10000 		 Average Reward: -47.1900 		 Average Success: 0.0000
Episode: 10100 		 Average Reward: -47.5300 		 Average Success: 0.0000
Episode: 10200 		 Average Reward: -47.1500 		 Average Success: 0.0000
Episode: 10300 		 Average Reward: -48.2300 		 Average Success: 0.0000
Episode: 10400 		 Average Reward: -48.3800 		 Average Success: 0.0000
Episode: 10500 		 Average Reward: -47.3600 		 Average Success: 0.0000
Episode: 10600 		 Average Reward: -45.9100 		 Average Success: 0.0000
Episode: 10700 		 Average Reward: -44.9200 		 Average Success: 0.0000
Episode: 10800 		 Average Reward: -45.0100 		 Average Success: 0.0000
Episode: 10900 		 Average Reward: -44.5900 		 Average Success: 0.0000
Episode: 11000 		 Average Reward: -46.3300 		 Average Success: 0.0000
Episode: 11100 		 Average Reward: -46.7500 		 Average Success: 0.0000
Episode: 11200 		 Average Reward: -43.5200 		 Average Success: 0.0000
Episode: 11300 		 Average Reward: -46.1600 		 Average Success: 0.0000
Episode: 11400 		 Average Reward: -42.1900 		 Average Success: 0.0000
Episode: 11500 		 Average Reward: -43.9800 		 Average Success: 0.0000
Episode: 11600 		 Average Reward: -47.2200 		 Average Success: 0.0000
Episode: 11700 		 Average Reward: -46.7100 		 Average Success: 0.0000
Episode: 11800 		 Average Reward: -47.2600 		 Average Success: 0.0000
Episode: 11900 		 Average Reward: -46.9200 		 Average Success: 0.0000
Episode: 12000 		 Average Reward: -42.9300 		 Average Success: 0.0000
Episode: 12100 		 Average Reward: -46.1300 		 Average Success: 0.0000
Episode: 12200 		 Average Reward: -47.3900 		 Average Success: 0.0000
Episode: 12300 		 Average Reward: -45.5700 		 Average Success: 0.0000
Episode: 12400 		 Average Reward: -46.9000 		 Average Success: 0.0000
Episode: 12500 		 Average Reward: -47.4700 		 Average Success: 0.0000
Episode: 12600 		 Average Reward: -48.4000 		 Average Success: 0.0000
Episode: 12700 		 Average Reward: -45.4400 		 Average Success: 0.0000
Episode: 12800 		 Average Reward: -48.8100 		 Average Success: 0.0000
Episode: 12900 		 Average Reward: -47.5800 		 Average Success: 0.0000
Episode: 13000 		 Average Reward: -47.3500 		 Average Success: 0.0000
Episode: 13100 		 Average Reward: -48.0500 		 Average Success: 0.0000
Episode: 13200 		 Average Reward: -47.5600 		 Average Success: 0.0000
Episode: 13300 		 Average Reward: -45.3000 		 Average Success: 0.0000
Episode: 13400 		 Average Reward: -46.6500 		 Average Success: 0.0000
Episode: 13500 		 Average Reward: -44.0200 		 Average Success: 0.0000
Episode: 13600 		 Average Reward: -41.6800 		 Average Success: 0.0000
Episode: 13700 		 Average Reward: -43.0400 		 Average Success: 0.0000
Episode: 13800 		 Average Reward: -46.6300 		 Average Success: 0.0000
Episode: 13900 		 Average Reward: -48.0800 		 Average Success: 0.0000
Episode: 14000 		 Average Reward: -48.4700 		 Average Success: 0.0000
Episode: 14100 		 Average Reward: -44.1200 		 Average Success: 0.0000
Episode: 14200 		 Average Reward: -46.2700 		 Average Success: 0.0000
Episode: 14300 		 Average Reward: -41.2400 		 Average Success: 0.0000
Episode: 14400 		 Average Reward: -42.3300 		 Average Success: 0.0000
Episode: 14500 		 Average Reward: -44.2500 		 Average Success: 0.0000
Episode: 14600 		 Average Reward: -41.7800 		 Average Success: 0.0000
Episode: 14700 		 Average Reward: -42.0000 		 Average Success: 0.0000
Episode: 14800 		 Average Reward: -40.2300 		 Average Success: 0.0000
Episode: 14900 		 Average Reward: -42.0100 		 Average Success: 0.0000
Episode: 15000 		 Average Reward: -45.1600 		 Average Success: 0.0000
Episode: 15100 		 Average Reward: -45.8000 		 Average Success: 0.0000
Episode: 15200 		 Average Reward: -48.7000 		 Average Success: 0.0000
Episode: 15300 		 Average Reward: -46.9600 		 Average Success: 0.0000
Episode: 15400 		 Average Reward: -46.8500 		 Average Success: 0.0000
Episode: 15500 		 Average Reward: -47.5100 		 Average Success: 0.0000
Episode: 15600 		 Average Reward: -45.7600 		 Average Success: 0.0000
Episode: 15700 		 Average Reward: -41.7200 		 Average Success: 0.0000
Episode: 15800 		 Average Reward: -42.8300 		 Average Success: 0.0000
Episode: 15900 		 Average Reward: -41.3200 		 Average Success: 0.0000
Episode: 16000 		 Average Reward: -42.8700 		 Average Success: 0.0000
Episode: 16100 		 Average Reward: -42.1300 		 Average Success: 0.0000
Episode: 16200 		 Average Reward: -47.5400 		 Average Success: 0.0000
Episode: 16300 		 Average Reward: -45.7600 		 Average Success: 0.0000
Episode: 16400 		 Average Reward: -45.8000 		 Average Success: 0.0000
Episode: 16500 		 Average Reward: -45.9500 		 Average Success: 0.0000
Traceback (most recent call last):
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/train.py", line 342, in <module>
    train(args)
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/train.py", line 96, in train
    action, action_logprob = agent.select_action(state)
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/ppo.py", line 122, in select_action
    action, action_logprob = self.policy.act(state)
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/ppo.py", line 76, in act
    action_logprob = dist.log_prob(action)
  File "/Users/skanda/anaconda3/envs/rl/lib/python3.9/site-packages/torch/distributions/categorical.py", line 125, in log_prob
    value, log_pmf = torch.broadcast_tensors(value, self.logits)
  File "/Users/skanda/anaconda3/envs/rl/lib/python3.9/site-packages/torch/functional.py", line 74, in broadcast_tensors
    return _VF.broadcast_tensors(tensors)  # type: ignore[attr-defined]
  File "/Users/skanda/anaconda3/envs/rl/lib/python3.9/site-packages/torch/_VF.py", line 26, in __getattr__
    def __getattr__(self, attr):
KeyboardInterrupt
